noga_slug,nace_slug,noga_level,nace_level,noga_code,nace_code,noga_uri,nace_uri,section,noga_label_en,noga_label_de,noga_label_fr,noga_label_it,nace_label_en,nace_label_bg,nace_label_cs,nace_label_da,nace_label_de,nace_label_el,nace_label_es,nace_label_et,nace_label_fi,nace_label_fr,nace_label_hr,nace_label_hu,nace_label_it,nace_label_lt,nace_label_lv,nace_label_mt,nace_label_nl,nace_label_no,nace_label_pl,nace_label_pt,nace_label_ro,nace_label_ru,nace_label_sk,nace_label_sl,nace_label_sv,nace_label_tr
noga-k,nace-k,section,section,K,K,https://register.ld.admin.ch/i14y/concept/nogaCode/K,http://data.europa.eu/ux2/nace2/K,K,FINANCIAL AND INSURANCE ACTIVITIES,ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN,ACTIVITÉS FINANCIÈRES ET D'ASSURANCE,ATTIVITÀ FINANZIARIE E ASSICURATIVE,FINANCIAL AND INSURANCE ACTIVITIES,ФИНАНСОВИ И ЗАСТРАХОВАТЕЛНИ ДЕЙНОСТИ,PENĚŽNICTVÍ A POJIŠŤOVNICTVÍ,"PENGEINSTITUT- OG FINANSVIRKSOMHED, FORSIKRING",ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN,ΧΡΗΜΑΤΟΠΙΣΤΩΤΙΚΕΣ ΚΑΙ ΑΣΦΑΛΙΣΤΙΚΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ,ACTIVIDADES FINANCIERAS Y DE SEGUROS,FINANTS- JA KINDLUSTUSTEGEVUS,RAHOITUS- JA VAKUUTUSTOIMINTA,ACTIVITÉS FINANCIÈRES ET D'ASSURANCE,FINANCIJSKE DJELATNOSTI I DJELATNOSTI OSIGURANJA,"PÉNZÜGYI, BIZTOSÍTÁSI TEVÉKENYSÉG",ATTIVITÀ FINANZIARIE E ASSICURATIVE,FINANSINĖ IR DRAUDIMO VEIKLA,FINANŠU UN APDROŠINĀŠANAS DARBĪBAS,ATTIVITAJET FINANZJARJI U MARBUTA MA' ASSIGURAZZJONI,FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN,FINANSIERINGS- OG FORSIKRINGSVIRKSOMHET,DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA,ACTIVIDADES FINANCEIRAS E DE SEGUROS,INTERMEDIERI FINANCIARE ŞI ASIGURARI,ФИНАНСОВАЯ И СТРАХОВАЯ ДЕЯТЕЛЬНОСТЬ,FINANČNÉ A POISŤOVACIE ČINNOSTI,FINANČNE IN ZAVAROVALNIŠKE DEJAVNOSTI,FINANS- OCH FÖRSÄKRINGSVERKSAMHET,FİNANS VE SİGORTA FAALİYETLERİ
noga-l,nace-l,section,section,L,L,https://register.ld.admin.ch/i14y/concept/nogaCode/L,http://data.europa.eu/ux2/nace2/L,L,REAL ESTATE ACTIVITIES,GRUNDSTÜCKS- UND WOHNUNGSWESEN,ACTIVITÉS IMMOBILIÈRES,ATTIVITÀ IMMOBILIARI,REAL ESTATE ACTIVITIES,ОПЕРАЦИИ С НЕДВИЖИМИ ИМОТИ,ČINNOSTI V OBLASTI NEMOVITOSTÍ,FAST EJENDOM,GRUNDSTÜCKS- UND WOHNUNGSWESEN,ΔΙΑΧΕΙΡΙΣΗ ΑΚΙΝΗΤΗΣ ΠΕΡΙΟΥΣΙΑΣ,ACTIVIDADES INMOBILIARIAS,KINNISVARAALANE TEGEVUS,KIINTEISTÖALAN TOIMINTA,ACTIVITÉS IMMOBILIÈRES,POSLOVANJE NEKRETNINAMA,INGATLANÜGYLETEK,ATTIVITÀ IMMOBILIARI,NEKILNOJAMOJO TURTO OPERACIJOS,OPERĀCIJAS AR NEKUSTAMO ĪPAŠUMU,ATTIVITAJIET MARBUTA MA' PROPRJETÀ IMMOBBLI,EXPLOITATIE VAN EN HANDEL IN ONROEREND GOED,OMSETNING OG DRIFT AV FAST EIENDOM,DZIAŁALNOŚĆ ZWIAZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI,ACTIVIDADES IMOBILIÁRIAS,TRANZACŢII IMOBILIARE,ОПЕРАЦИИ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,ČINNOSTI V OBLASTI NEHNUTEĽNOSTÍ,POSLOVANJE Z NEPREMIČNINAMI,FASTIGHETSVERKSAMHET,GAYRİMENKUL FAALİYETLERİ
noga-m,nace-m,section,section,M,M,https://register.ld.admin.ch/i14y/concept/nogaCode/M,http://data.europa.eu/ux2/nace2/M,M,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN","ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES","ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",ПРОФЕСИОНАЛНИ ДЕЙНОСТИ И НАУЧНИ ИЗСЛЕДВАНИЯ,"ODBORNÉ, VĚDECKÉ A TECHNICKÉ ČINNOSTI","LIBERALE, VIDENSKABELIGE OG TEKNISKE TJENESTEYDELSER","ERBRINGUNG VON FREIBERUFLICHEN, WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN","ΕΠΑΓΓΕΛΜΑΤΙΚΕΣ, ΕΠΙΣΤΗΜΟΝΙΚΕΣ ΚΑΙ ΤΕΧΝΙΚΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ","ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS","KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS","AMMATILLINEN, TIETEELLINEN JA TEKNINEN TOIMINTA","ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES","STRUČNE, ZNANSTVENE I TEHNIČKE DJELATNOSTI","SZAKMAI, TUDOMÁNYOS, MŰSZAKI TEVÉKENYSÉG","ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE","PROFESINĖ, MOKSLINĖ IR TECHNINĖ VEIKLA","PROFESIONĀLIE, ZINĀTNISKIE UN TEHNISKIE PAKALPOJUMI","ATTIVITAJIET PROFESSJONALI, XJENTIFIĊI U TEKNIĊI",VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN,"FAGLIG, VITENSKAPELIG OG TEKNISK TJENESTEYTING","DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA","ACTIVIDADES DE CONSULTORIA, CIENTÍFICAS, TÉCNICAS E SIMILARES","ACTIVITĂŢI PROFESIONALE, ŞTIINŢIFICE ŞI TEHNICE","ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ","ODBORNÉ, VEDECKÉ A TECHNICKÉ TESTOVANIE A ANALÝZY","STROKOVNE, ZNANSTVENE IN TEHNIČNE DEJAVNOSTI","VERKSAMHET INOM JURIDIK, EKONOMI, VETENSKAP OCH TEKNIK","MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER"
noga-n,nace-n,section,section,N,N,https://register.ld.admin.ch/i14y/concept/nogaCode/N,http://data.europa.eu/ux2/nace2/N,N,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN,ACTIVITÉS DE SERVICES ADMINISTRATIFS ET DE SOUTIEN,ATTIVITÀ AMMINISTRATIVE E DI SERVIZI DI SUPPORTO,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,АДМИНИСТРАТИВНИ И СПОМАГАТЕЛНИ ДЕЙНОСТИ,ADMINISTRATIVNÍ A PODPŮRNÉ ČINNOSTI,ADMINISTRATIVE TJENESTEYDELSER OG HJÆLPETJENESTER,ERBRINGUNG VON SONSTIGEN WIRTSCHAFTLICHEN DIENSTLEISTUNGEN,ΔΙΟΙΚΗΤΙΚΕΣ ΚΑΙ ΥΠΟΣΤΗΡΙΚΤΙΚΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS AUXILIARES,HALDUS- JA ABITEGEVUSED,HALLINTO- JA TUKIPALVELUTOIMINTA,ACTIVITÉS DE SERVICES ADMINISTRATIFS ET DE SOUTIEN,ADMINISTRATIVNE I POMOĆNE USLUŽNE DJELATNOSTI,ADMINISZTRATÍV ÉS SZOLGÁLTATÁST TÁMOGATÓ TEVÉKENYSÉG,ATTIVITÀ AMMINISTRATIVE E DI SERVIZI DI SUPPORTO,ADMINISTRACINĖ IR APTARNAVIMO VEIKLA,ADMINISTRATĪVO UN APKALPOJOŠO DIENESTU DARBĪBA,ATTIVITAJIET TA' SERVIZZ ADMINISTRATTIVI U TA' SOSTENN,ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN,FORRETNINGSMESSIG TJENESTEYTING,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,ACTIVIDADES ADMINISTRATIVAS E DOS SERVIÇOS DE APOIO,ACTIVITĂŢI DE SERVICII ADMINISTRATIVE ŞI ACTIVITĂŢI DE SERVICII SUPORT,АДМИНИСТРАТИВНАЯ ДЕЯТЕЛЬНОСТЬ И ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ В ДАННОЙ ОБЛАСТИ,ADMINISTRATÍVNE A PODPORNÉ SLUŽBY,DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,"UTHYRNING, FASTIGHETSSERVICE, RESETJÄNSTER OCH ANDRA STÖDTJÄNSTER",İDARİ VE DESTEK HİZMET FAALİYETLERİ
noga-o,nace-o,section,section,O,O,https://register.ld.admin.ch/i14y/concept/nogaCode/O,http://data.europa.eu/ux2/nace2/O,O,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,"ÖFFENTLICHE VERWALTUNG, VERTEIDIGUNG; SOZIALVERSICHERUNG",ADMINISTRATION PUBLIQUE,AMMINISTRAZIONE PUBBLICA E DIFESA; ASSICURAZIONE SOCIALE OBBLIGATORIA,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,ДЪРЖАВНО УПРАВЛЕНИЕ,VEŘEJNÁ SPRÁVA A OBRANA; POVINNÉ SOCIÁLNÍ ZABEZPEČENÍ,OFFENTLIG FORVALTNING OG FORSVAR; SOCIALSIKRING,"ÖFFENTLICHE VERWALTUNG, VERTEIDIGUNG; SOZIALVERSICHERUNG",ΔΗΜΟΣΙΑ ΔΙΟΙΚΗΣΗ ΚΑΙ ΑΜΥΝΑ· ΥΠΟΧΡΕΩΤΙΚΗ ΚΟΙΝΩΝΙΚΗ ΑΣΦΑΛΙΣΗ,ADMINISTRACIÓN PÚBLICA Y DEFENSA; SEGURIDAD SOCIAL OBLIGATORIA,AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS,JULKINEN HALLINTO JA MAANPUOLUSTU3S; PAKOLLINEN SOSIAALIVAKUUTUS,ADMINISTRATION PUBLIQUE,JAVNA UPRAVA I OBRANA; OBVEZNO SOCIJALNO OSIGURANJE,"KÖZIGAZGATÁS, VÉDELEM; KÖTELEZŐ TÁRSADALOMBIZTOSÍTÁS",AMMINISTRAZIONE PUBBLICA E DIFESA; ASSICURAZIONE SOCIALE OBBLIGATORIA,VIEŠASIS VALDYMAS IR GYNYBA; PRIVALOMASIS SOCIALINIS DRAUDIMAS,VALSTS PĀRVALDE UN AIZSARDZĪBA; OBLIGĀTĀ SOCIĀLĀ APDROŠINĀŠANA,AMMINISTRAZZJONI PUBBLIKA U DIFIŻA; SIGURTÀ SOĊJALI OBBLIGATORJA,OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN,"OFFENTLIG ADMINISTRASJON OG FORSVAR, OG TRYGDEORDNINGER UNDERLAGT OFFENTLIG FORVALTNING",ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE,ADMINISTRAÇÃO PÚBLICA E DEFESA; SEGURANÇA SOCIAL OBRIGATÓRIA,ADMINISTRAŢIE PUBLICĂ ŞI APĂRARE; ASIGURĂRI SOCIALE DIN SISTEMUL PUBLIC,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБОРОНА; ОБЯЗАТЕЛЬНОЕ СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ,VEREJNÁ SPRÁVA A OBRANA; POVINNÉ SOCIÁLNE ZABEZPEČENIE,DEJAVNOST JAVNE UPRAVE IN OBRAMBE; DEJAVNOST OBVEZNE SOCIALNE VARNOSTI,OFFENTLIG FÖRVALTNING OCH FÖRSVAR; OBLIGATORISK SOCIALFÖRSÄKRING,KAMU YÖNETİMİ VE SAVUNMA; ZORUNLU SOSYAL GÜVENLİK
noga-p,nace-p,section,section,P,P,https://register.ld.admin.ch/i14y/concept/nogaCode/P,http://data.europa.eu/ux2/nace2/P,P,EDUCATION,ERZIEHUNG UND UNTERRICHT,ENSEIGNEMENT,ISTRUZIONE,EDUCATION,ОБРАЗОВАНИЕ,VZDĚLÁVÁNÍ,UNDERVISNING,ERZIEHUNG UND UNTERRICHT,ΕΚΠΑΙΔΕΥΣΗ,EDUCACIÓN,HARIDUS,KOULUTUS,ENSEIGNEMENT,OBRAZOVANJE,OKTATÁS,ISTRUZIONE,ŠVIETIMAS,IZGLĪTĪBA,EDUKAZZJONI,ONDERWIJS,UNDERVISNING,EDUKACJA,EDUCAÇÃO,ÎNVĂŢĂMÂNT,ОБРАЗОВАНИЕ,VZDELÁVANIE,IZOBRAŽEVANJE,UTBILDNING,EĞİTİM
noga-q,nace-q,section,section,Q,Q,https://register.ld.admin.ch/i14y/concept/nogaCode/Q,http://data.europa.eu/ux2/nace2/Q,Q,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,GESUNDHEITS- UND SOZIALWESEN,SANTÉ HUMAINE ET ACTION SOCIALE,SANITÀ E ASSISTENZA SOCIALE,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,ХУМАННО ЗДРАВЕОПАЗВАНЕ И СОЦИАЛНА РАБОТА,ZDRAVOTNÍ A SOCIÁLNÍ PÉČE,SUNDHEDSVÆSEN OG SOCIALE FORANSTALTNINGER,GESUNDHEITS- UND SOZIALWESEN,ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΑΝΘΡΩΠΙΝΗ ΥΓΕΙΑ ΚΑΙ ΤΗΝ ΚΟΙΝΩΝΙΚΗ ΜΕΡΙΜΝΑ,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,TERVISHOID JA SOTSIAALHOOLEKANNE,TERVEYS- JA SOSIAALIPALVELUT,SANTÉ HUMAINE ET ACTION SOCIALE,DJELATNOSTI ZDRAVSTVENE ZAŠTITE I SOCIJALNE SKRBI,"HUMÁN-EGÉSZSÉGÜGYI, SZOCIÁLIS ELLÁTÁS",SANITÀ E ASSISTENZA SOCIALE,ŽMONIŲ SVEIKATOS PRIEŽIŪRA IR SOCIALINIS DARBAS,VESELĪBA UN SOCIĀLĀ APRŪPE,ATTIVITAJIET MARBUTA MAS-SAĦĦA UMANA U ĦIDMA SOĊJALI,MENSELIJKE GEZONDHEIDSZORG EN MAATSCHAPPELIJKE DIENSTVERLENING,HELSE- OG SOSIALTJENESTER,OPIEKA ZDROWOTNA I POMOC SPOŁECZNA,SAÚDE HUMANA E ACÇÃO SOCIAL,SĂNĂTATE ŞI ASISTENŢĂ SOCIALĂ,ЗДРАВООХРАНЕНИЕ И СОЦИАЛЬНЫЕ УСЛУГИ,ZDRAVOTNÍCTVO A SOCIÁLNA POMOC,ZDRAVSTVO IN SOCIALNO VARSTVO,VÅRD OCH OMSORG; SOCIALA TJÄNSTER,İNSAN SAĞLIĞI VE SOSYAL HİZMET FAALİYETLERİ
noga-r,nace-r,section,section,R,R,https://register.ld.admin.ch/i14y/concept/nogaCode/R,http://data.europa.eu/ux2/nace2/R,R,"ARTS, ENTERTAINMENT AND RECREATION","KUNST, UNTERHALTUNG UND ERHOLUNG","ARTS, SPECTACLES ET ACTIVITÉS RÉCRÉATIVES","ATTIVITA' ARTISTICHE, DI INTRATTENIMENTO E DIVERTIMENTO","ARTS, ENTERTAINMENT AND RECREATION","КУЛТУРА, СПОРТ И РАЗВЛЕЧЕНИЯ","KULTURNÍ, ZÁBAVNÍ A REKREAČNÍ ČINNOSTI","KULTUR, FORLYSTELSER OG SPORT","KUNST, UNTERHALTUNG UND ERHOLUNG","ΤΕΧΝΕΣ, ΔΙΑΣΚΕΔΑΣΗ ΚΑΙ ΨΥΧΑΓΩΓΙΑ","ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",MEELELAHUTUS JA VABA AEG,"TAITEET, VIIHDE JA VIRKISTYS","ARTS, SPECTACLES ET ACTIVITÉS RÉCRÉATIVES","UMJETNOST, ZABAVA I REKREACIJA","MŰVÉSZET, SZÓRAKOZTATÁS, SZABADIDŐ","ATTIVITA' ARTISTICHE, DI INTRATTENIMENTO E DIVERTIMENTO","MENINĖ, PRAMOGINĖ IR POILSIO ORGANIZAVIMO VEIKLA","MĀKSLA, IZKLAIDE UN ATPŪTA","ARTI, DIVERTIMENT U RIKREAZZJONI","KUNST, AMUSEMENT EN RECREATIE","KULTURELL VIRKSOMHET, UNDERHOLDNING OG FRITIDSAKTIVITETER","DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, ROZRYWKĄ I REKREACJĄ","ACTIVIDADES ARTÍSTICAS, DE ESPECTÁCULOS E RECREATIVAS","ACTIVITĂŢI DE SPECTACOLE, CULTURALE ŞI RECREATIVE","ИСКУССТВО, РАЗВЛЕЧЕНИЯ И ОТДЫХ","UMENIE, ZÁBAVA A REKREÁCIA","KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI","KULTUR, NÖJE OCH FRITID","KÜLTÜR, SANAT, EĞLENCE, DİNLENCE VE SPOR"
noga-s,nace-s,section,section,S,S,https://register.ld.admin.ch/i14y/concept/nogaCode/S,http://data.europa.eu/ux2/nace2/S,S,OTHER SERVICE ACTIVITIES,ERBRINGUNG VON SONSTIGEN DIENSTLEISTUNGEN,AUTRES ACTIVITÉS DE SERVICES,ALTRE ATTIVITÀ DI SERVIZI,OTHER SERVICE ACTIVITIES,ДРУГИ ДЕЙНОСТИ,OSTATNÍ ČINNOSTI,ANDRE SERVICEYDELSER,ERBRINGUNG VON SONSTIGEN DIENSTLEISTUNGEN,ΑΛΛΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ,OTROS SERVICIOS,MUUD TEENINDAVAD TEGEVUSED,MUU PALVELUTOIMINTA,AUTRES ACTIVITÉS DE SERVICES,OSTALE USLUŽNE DJELATNOSTI,EGYÉB SZOLGÁLTATÁS,ALTRE ATTIVITÀ DI SERVIZI,KITA APTARNAVIMO VEIKLA,CITI PAKALPOJUMI,ATTIVITAJIET OĦRA TA' SERVIZZ,OVERIGE DIENSTEN,ANNEN TJENESTEYTING,POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA,OUTRAS ACTIVIDADES DE SERVIÇOS,ALTE ACTIVITĂŢI DE SERVICII,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ,OSTATNÉ ČINNOSTI,DRUGE DEJAVNOSTI,ANNAN SERVICEVERKSAMHET,DİĞER HİZMET FAALİYETLERİ
noga-t,nace-t,section,section,T,T,https://register.ld.admin.ch/i14y/concept/nogaCode/T,http://data.europa.eu/ux2/nace2/T,T,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE,PRIVATE HAUSHALTE MIT HAUSPERSONAL; HERSTELLUNG VON WAREN UND ERBRINGUNG VON DIENSTLEISTUNGEN DURCH PRIVATE HAUSHALTE FÜR DEN EIGENBEDARF OHNE AUSGEPRÄGTEN SCHWERPUNKT,ACTIVITÉS DES MÉNAGES EN TANT QU'EMPLOYEURS; ACTIVITÉS INDIFFÉRENCIÉES DES MÉNAGES EN TANT QUE PRODUCTEURS DE BIENS ET SERVICES POUR USAGE PROPRE,ATTIVITÀ DI FAMIGLIE E CONVIVENZE COME DATORI DI LAVORO PER PERSONALE DOMESTICO; PRODUZIONE DI BENI E SERVIZI INDIFFERENZIATI PER USO PROPRIO DA PARTE DI FAMIGLIE E CONVIVENZE,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE,ДЕЙНОСТИ НА ДОМАКИНСТВА КАТО РАБОТОДАТЕЛИ; НЕДИФЕРЕНЦИРАНИ ДЕЙНОСТИ НА ДОМАКИНСТВА ПО ПРОИЗВОДСТВО НА СТОКИ И УСЛУГИ ЗА СОБСТВЕНО ПОТРЕБЛЕНИЕ,ČINNOSTI DOMÁCNOSTÍ JAKO ZAMĚSTNAVATELŮ; ČINNOSTI DOMÁCNOSTÍ PRODUKUJÍCÍCH BLÍŽE NEURČENÉ VÝROBKY A SLUŽBY PRO VLASTNÍ POTŘEBU,"PRIVATE HUSHOLDNINGER MED ANSAT MEDHJÆLP; HUSHOLDNINGERS PRODUKTION AF VARER OG TJENESTEYDELSER TIL EGET BRUG, I.A.N.",PRIVATE HAUSHALTE MIT HAUSPERSONAL; HERSTELLUNG VON WAREN UND ERBRINGUNG VON DIENSTLEISTUNGEN DURCH PRIVATE HAUSHALTE FÜR DEN EIGENBEDARF OHNE AUSGEPRÄGTEN SCHWERPUNKT,"ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΝΟΙΚΟΚΥΡΙΩΝ ΩΣ ΕΡΓΟΔΟΤΩΝ· ΜΗ ΔΙΑΦΟΡΟΠΟΙΗΜΈΝΕΣ ΔΡΑΣΤΗΡΙΌΤΗΤΕΣ ΝΟΙΚΟΚΥΡΙΏΝ, ΠΟΥ ΑΦΟΡΟΎΝ ΤΗΝ ΠΑΡΑΓΩΓΉ ΑΓΑΘΏΝ -ΚΑΙ ΥΠΗΡΕΣΙΩΝ- ΓΙΑ ΊΔΙΑ ΧΡΉΣΗ",ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES DE PERSONAL DOMÉSTICO; ACTIVIDADES DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO,KODUMAJAPIDAMISTE KUI TÖÖANDJATE TEGEVUS; KODUMAJAPIDAMISTE OMA TARBEKS MÕELDUD ERISTAMATA KAUPADE TOOTMINE JA TEENUSTE OSUTAMINE,KOTITALOUKSIEN TOIMINTA TYÖNANTAJINA; KOTITALOUKSIEN ERIYTTÄMÄTÖN TOIMINTA TAVAROIDEN JA PALVELUJEN TUOTTAMISEKSI OMAAN KÄYTTÖÖN,ACTIVITÉS DES MÉNAGES EN TANT QU'EMPLOYEURS; ACTIVITÉS INDIFFÉRENCIÉES DES MÉNAGES EN TANT QUE PRODUCTEURS DE BIENS ET SERVICES POUR USAGE PROPRE,DJELATNOSTI KUĆANSTAVA KAO POSLODAVACA; DJELATNOSTI KUĆANSTAVA KOJA PROIZVODE RAZLIČITU ROBU I OBAVLJAJU RAZLIČITE USLUGE ZA VLASTITE POTREBE,"HÁZTARTÁS MUNKAADÓI TEVÉKENYSÉGE; TERMÉK ELŐÁLLÍTÁSA, SZOLGÁLTATÁS VÉGZÉSE SAJÁT FOGYASZTÁSRA",ATTIVITÀ DI FAMIGLIE E CONVIVENZE COME DATORI DI LAVORO PER PERSONALE DOMESTICO; PRODUZIONE DI BENI E SERVIZI INDIFFERENZIATI PER USO PROPRIO DA PARTE DI FAMIGLIE E CONVIVENZE,"NAMŲ ŪKIŲ, SAMDANČIŲ DARBININKUS, VEIKLA; NAMŲ ŪKIŲ VEIKLA, SUSIJUSI SU SAVOMS REIKMĖMS TENKINTI SKIRTŲ NEDIFERENCIJUOJAMŲ GAMINIŲ GAMYBA IR PASLAUGŲ TEIKIMU",MĀJSAIMNIECĪBU KĀ DARBA DEVĒJU DARBĪBA; PAŠPATĒRIŅA PREČU RAŽOŠANA UN PAKALPOJUMU SNIEGŠANA INDIVIDUĀLAJĀS MĀJSAIMNIECĪBĀS,ATTIVITAJIET TA' PERSUNI TAD-DAR BĦALA PERSUNI LI JĦADDMU; ATTIVITAJIET TA' PRODUZZJONI TA' OĠĠETTI U SERVIZZI MHUX IDDIFFERENZJATI GĦALL-UŻU TA' L-INDIVIDWU STESS,HUISHOUDENS ALS WERKGEVER; NIET-GEDIFFERENTIEERDE PRODUCTIE VAN GOEDEREN EN DIENSTEN DOOR HUISHOUDENS VOOR EIGEN GEBRUIK,LØNNET ARBEID I PRIVATE HUSHOLDNINGER,GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW; GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NAWŁASNE POTRZEBY,ACTIVIDADES DAS FAMÍLIAS EMPREGADORAS DE PESSOAL DOMÉSTICO; ACTIVIDADES DE PRODUÇÃO DE BENS E SERVIÇOS PELAS FAMÍLIAS PARA USO PRÓPRIO,ACTIVITĂŢI ALE GOSPODĂRIILOR PRIVATE ÎN CALITATE DE ANGAJATOR DE PERSONAL CASNIC; ACTIVITĂŢI ALE GOSPODĂRIILOR PRIVATE DE PRODUCERE DE BUNURI ŞI SERVICII DESTINATE CONSUMULUI PROPRIU,"ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ, НАНИМАЮЩИХ ДОМАШНЮЮ ПРИСЛУГУ И ПРОИЗВОДЯЩИХ ТОВАРЫ И УСЛУГИ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ",ČINNOSTI DOMÁCNOSTÍ AKO ZAMESTNÁVATEĽOV; NEDIFERENCOVANÉ ČINNOSTI V DOMÁCNOSTIACH PRODUKUJÚCE TOVAR NA VLASTNÉ POUŽITIE,DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEEBJEM; PROIZVODNJA ZA LASTNO RABO,FÖRVÄRVSARBETE I HUSHÅLL; HUSHÅLLENS PRODUKTION AV DIVERSE VAROR OCH TJÄNSTER FÖR EGET BRUK,HANEHALKLARININ İŞVERENLER OLARAK FAALİYETLERİ; HANEHALKLARI TARAFINDAN KENDİ KULLANIMLARINA YÖNELİK OLARAK AYRIM YAPILMAMIŞ MAL VE HİZMET ÜRETİM FAALİYETLERİ
